name,email,license_number,total_trips,total_earnings,safety_score,on_time_delivery_rate,experience_years,rest_compliance_rate,avg_speed_profile,harsh_braking_events,harsh_acceleration_events,fuel_efficiency_score,route_adherence,customer_satisfaction,training_level,certifications,preferred_routes,fatigue_score,id
Iyamuremye Odette,driver6e0a9daf@example.com,DL00024,144,49514.48,0.814313864591156,0.9514434996602994,6.0113240656025395,0.9026530227515668,"{""highway"": 71.34298269595955, ""city"": 34.506029222381805, ""residential"": 16.614949948077083}",30,7,0.7257436348764932,0.9120959280957658,4.635196336112672,2,"['Basic', 'Advanced']","[""R266"", ""R406"", ""R206""]",0.29854147378206386,24
Rwigema Thierry,driver6b1c2f21@example.com,DL00025,54,18325.30,0.7196152982283917,0.7915908865177476,9.532291964123855,0.7584235439636472,"{""highway"": 62.19625475115668, ""city"": 21.149521781982475, ""residential"": 21.411825555395346}",37,28,0.6011088962103088,0.8998707555185098,4.223250903283547,1,['Basic'],"[""R277"", ""R466"", ""R067""]",0.18986293209696511,25
Munyaneza Eric,drivere3aab751@example.com,DL00026,119,44993.49,0.8829276034794677,0.7253537865871602,0.9118253264734439,0.817435369672423,"{""highway"": 73.81595152568775, ""city"": 26.328744461811613, ""residential"": 23.379805761766118}",49,30,0.7577104208147155,0.9950647684234195,3.997989106295093,3,"['Basic', 'Advanced']","[""R466"", ""R217"", ""R284""]",0.24143694230718601,26
Mukamana Emmanuel,driver8fb2e7b9@example.com,DL00027,191,13217.49,0.8632255439847729,0.8989143784489906,17.802527275754027,0.9248304736864394,"{""highway"": 57.82939046519058, ""city"": 28.22599009462945, ""residential"": 16.225210147684372}",36,1,0.809447788854669,0.855222655207448,4.231222395020072,1,"['Basic', 'Advanced']","[""R449"", ""R199"", ""R169""]",0.46233095153548665,27
Mukamana Thierry,driverba158937@example.com,DL00028,155,15728.24,0.6909566302536114,0.9048617162098583,8.143169961474811,0.9124318814957946,"{""highway"": 66.88483154796836, ""city"": 33.16043769422397, ""residential"": 17.326740618256128}",11,17,0.8089541947716685,0.9474496882505161,4.009466092021513,1,['Basic'],"[""R431"", ""R207"", ""R140""]",0.133687990044655,28
Mugisha Alice,driver878b04a4@example.com,DL00029,182,3632.58,0.6513940776883052,0.8121782747529355,14.094620259799607,0.9563693534697517,"{""highway"": 61.3946436290226, ""city"": 33.511992890306956, ""residential"": 23.05771948563231}",8,12,0.7855307131191982,0.9276194454707443,3.171130506357555,1,"['Basic', 'Advanced']","[""R464"", ""R189"", ""R408""]",0.3539709362097939,29
Niyonsaba John,drivere0f6fc66@example.com,DL00030,118,11419.09,0.7063452950929494,0.7713166577982604,11.198307096924152,0.990322766824442,"{""highway"": 69.95451378859939, ""city"": 27.37558082909659, ""residential"": 20.439736563740823}",38,23,0.6024335798789323,0.9268558676426435,4.616468229746456,3,['Basic'],"[""R289"", ""R077"", ""R286""]",0.453136282374747,30
Mukamana Claude,driverf13b7fd9@example.com,DL00031,122,3334.87,0.5086820394445063,0.804357661479088,5.335431605497494,0.926327711473393,"{""highway"": 59.5613866421028, ""city"": 31.125737950192352, ""residential"": 18.99582019657133}",34,32,0.9629259591709374,0.895154271799775,4.066207811238664,5,['Basic'],"[""R348"", ""R385"", ""R157""]",0.32370760768186735,31
Mugisha Eric,driverf90c70bb@example.com,DL00032,17,22223.54,0.5906299109277673,0.9639471855835668,18.612643686968372,0.7177850360607378,"{""highway"": 57.28078163162471, ""city"": 23.500115015023326, ""residential"": 19.43645703475887}",29,19,0.6899729334932962,0.8329301383515795,4.058880953406012,2,['Basic'],"[""R297"", ""R007"", ""R495""]",0.2246761776660741,32
Niyonsaba Eric,driverdd619159@example.com,DL00033,122,48809.43,0.9123119839314835,0.7810904355392342,6.663804772844947,0.9936240532913065,"{""highway"": 67.30517973584313, ""city"": 32.99432651077889, ""residential"": 15.831988470249135}",13,22,0.6197618167742626,0.9149430560788392,4.548629587723918,3,"['Basic', 'Advanced']","[""R197"", ""R246"", ""R181""]",0.30723264986781706,33
Umuhoza Jean,driverc01f3a70@example.com,DL00034,28,31815.37,0.9735988726714346,0.7933060372488877,18.914677725552842,0.7136740325470314,"{""highway"": 55.0972365844118, ""city"": 20.092650013823395, ""residential"": 24.42941102471272}",20,21,0.9326845186275605,0.9677752785464873,4.441055914858331,1,"['Basic', 'Advanced']","[""R088"", ""R091"", ""R125""]",0.4412659415705549,34
Munyaneza Jean,driverda2f0bed@example.com,DL00035,53,23806.02,0.7525636712580792,0.8317239126651579,15.952915681863535,0.7566743178382074,"{""highway"": 66.19445677985509, ""city"": 32.570568404547686, ""residential"": 17.1686179629951}",21,19,0.7709818724297,0.7771870060809241,3.1415849690250526,2,"['Basic', 'Advanced']","[""R483"", ""R130"", ""R198""]",0.4934447457030863,35
Ndagijimana Eric,driverdea4043c@example.com,DL00036,66,9925.43,0.6214009778667691,0.7215994198995653,8.412803505775736,0.7108262116692555,"{""highway"": 64.6553978854555, ""city"": 34.35171987753659, ""residential"": 20.15524731379911}",19,23,0.9666045355326162,0.8858902885927489,3.469595490038712,2,"['Basic', 'Advanced']","[""R412"", ""R069"", ""R116""]",0.12243526158301697,36
Ndagijimana Eric,driverc66a3835@example.com,DL00037,197,23972.11,0.7712826451607097,0.8534413655655422,17.801573013075622,0.8059726220308169,"{""highway"": 67.36755746987635, ""city"": 28.84667543074481, ""residential"": 18.587633315602105}",2,31,0.8801303505180631,0.7117519668313762,3.8453134283051167,1,"['Basic', 'Advanced']","[""R223"", ""R478"", ""R257""]",0.42901925627342274,37
Uwase Emmanuel,driveraa3af31f@example.com,DL00038,41,27933.33,0.6314217826983236,0.9071508236686567,14.425592274657353,0.8161900145621241,"{""highway"": 57.91507188457918, ""city"": 28.215704287633756, ""residential"": 17.44381635058673}",43,31,0.9782581827587948,0.9226769926615987,4.825596827145326,2,['Basic'],"[""R329"", ""R428"", ""R378""]",0.1440650181039096,38
Mugisha Jean,driver058c8625@example.com,DL00039,186,7368.34,0.864251171279268,0.7140128682496619,1.5359522981818103,0.9512337302541849,"{""highway"": 65.62043970933486, ""city"": 34.589650002683555, ""residential"": 18.6766060846833}",46,4,0.7637987854563172,0.9601056248985151,3.091570951533576,4,['Basic'],"[""R114"", ""R285"", ""R157""]",0.1256626306373988,39
Mukamana Odette,driver3c1a6341@example.com,DL00040,76,44024.85,0.5031911605833974,0.9379451827119039,11.213452701712841,0.9508228562221642,"{""highway"": 59.28279936244658, ""city"": 24.018357401081634, ""residential"": 23.396768491359268}",1,18,0.7666808902554076,0.822022032075451,3.9016192626127433,2,['Basic'],"[""R365"", ""R455"", ""R122""]",0.3074151113093842,40
Niyonsaba John,driver3437b16b@example.com,DL00041,192,26207.14,0.7870663073832893,0.9372365784584513,2.28961881183724,0.8963639185819955,"{""highway"": 68.2076852945512, ""city"": 29.59949621314334, ""residential"": 23.94901566965325}",18,0,0.691232566341512,0.7788459810174431,4.420329915572231,4,"['Basic', 'Advanced']","[""R465"", ""R318"", ""R282""]",0.3720742158676532,41
Mukamana Jean,driver90902431@example.com,DL00042,105,44566.68,0.9067722892458983,0.9826115583317803,18.050096429827875,0.8169861286147045,"{""highway"": 58.72720967862301, ""city"": 20.582058055888133, ""residential"": 21.195828438816022}",39,19,0.740106790715674,0.9698694625533915,3.8319641050422626,4,['Basic'],"[""R439"", ""R076"", ""R213""]",0.2281356386463604,42
Umuhoza John,driver80880327@example.com,DL00043,48,14910.29,0.883817714077334,0.9543868640085451,18.31358314310878,0.9864446088375578,"{""highway"": 72.34563298522374, ""city"": 27.087321796229027, ""residential"": 24.62176978980367}",13,16,0.6485486580190271,0.7041904684531136,4.170992320825545,5,"['Basic', 'Advanced']","[""R409"", ""R221"", ""R417""]",0.32845846247567256,43
Kamanzi Jean,drivercdd97ef0@example.com,DL00044,198,14428.37,0.9576211761903517,0.8982941890628448,4.804275234376944,0.8247772558110527,"{""highway"": 61.41887023940125, ""city"": 28.310581169087193, ""residential"": 16.357514369923436}",48,17,0.9386659474220855,0.8463724014563538,3.8434400883689106,5,['Basic'],"[""R353"", ""R328"", ""R038""]",0.42142203405848244,44
Umuhoza Emmanuel,driver5db80b25@example.com,DL00045,157,28513.19,0.5937641193273409,0.7029857201802764,15.01953317797226,0.8432873086340343,"{""highway"": 60.25289196884289, ""city"": 28.028102144717057, ""residential"": 23.97252958403836}",38,22,0.8024446534039836,0.8783306444048518,3.0123327380754894,3,"['Basic', 'Advanced']","[""R149"", ""R164"", ""R407""]",0.2714169585983446,45
Uwase Jacqueline,driver63c1af39@example.com,DL00046,27,36250.57,0.6658933744290236,0.8864228111681923,18.730362421224555,0.8145520992815967,"{""highway"": 61.02458346663917, ""city"": 27.010597976749146, ""residential"": 23.74197822534349}",11,24,0.9932171041391566,0.9404634445527176,4.873407620185918,4,['Basic'],"[""R127"", ""R230"", ""R325""]",0.11519373298847438,46
Ndagijimana Jacqueline,driverd34f69ea@example.com,DL00047,156,17154.44,0.9344326412901187,0.9142402396262008,13.619251996309368,0.7910297872217201,"{""highway"": 59.429376820454536, ""city"": 33.029095179497794, ""residential"": 24.867345113838297}",42,17,0.7205860332117402,0.8776884364008388,3.7339128608852166,2,"['Basic', 'Advanced']","[""R390"", ""R367"", ""R380""]",0.1998809501589947,47
Munyaneza Eric,driver181d73b4@example.com,DL00048,122,37575.32,0.5399732723768573,0.8830355519966396,19.83437566314041,0.9854069086755279,"{""highway"": 58.04416541930467, ""city"": 26.88696888773293, ""residential"": 24.379268369667457}",20,30,0.8570320590176963,0.7083194657831257,4.6344735673356725,5,['Basic'],"[""R237"", ""R030"", ""R391""]",0.1613365451505948,48
Iyamuremye Claude,driver72deb380@example.com,DL00049,118,22271.87,0.5767447985894467,0.9733492321066174,14.893573384593997,0.7812692398005574,"{""highway"": 63.38393323601518, ""city"": 22.339267071498405, ""residential"": 17.614485807901517}",3,36,0.7798902750871296,0.8398070968055732,4.2255463829225395,1,"['Basic', 'Advanced']","[""R215"", ""R048"", ""R144""]",0.21061895552185286,49
Iyamuremye Jean,driver3d8d68ad@example.com,DL00050,32,8079.80,0.7134853683953888,0.8235650595501333,8.20468517278194,0.786295528432034,"{""highway"": 62.41353894409627, ""city"": 26.480348332091914, ""residential"": 21.650419118995273}",35,17,0.6918389665360756,0.7656932629126229,3.3524002391520167,5,"['Basic', 'Advanced']","[""R258"", ""R371"", ""R379""]",0.19232678175809062,50
Niyonsaba Alice,driver416d2ea2@example.com,DL00051,194,48266.74,0.6782459125482623,0.8714652082489236,1.6820898629362788,0.8357402916187457,"{""highway"": 56.83346249932619, ""city"": 24.73349370161794, ""residential"": 24.25206485340991}",35,27,0.6151804030383635,0.7095774299242215,3.586941821406079,2,"['Basic', 'Advanced']","[""R442"", ""R234"", ""R266""]",0.17312536386093658,51
Mukamana Jean,drivercb4dad94@example.com,DL00052,170,29540.61,0.8337808306358767,0.9034255338488347,10.455454759354302,0.7314558844430227,"{""highway"": 74.96237417318125, ""city"": 34.18459614462974, ""residential"": 18.159432194018894}",39,3,0.8377067488011686,0.9914754114879718,4.612960428123927,4,['Basic'],"[""R189"", ""R161"", ""R165""]",0.41160088298676756,52
Rwigema Odette,driver88f983c6@example.com,DL00053,14,15896.90,0.5019195535352385,0.7747791438943805,19.328012398281484,0.9978089025573906,"{""highway"": 67.15082023366581, ""city"": 33.89935999315049, ""residential"": 22.523897883597943}",35,20,0.7977635813609263,0.8879073740591972,4.491223721968278,3,"['Basic', 'Advanced']","[""R303"", ""R109"", ""R393""]",0.2060370984246386,53
Umuhoza Jean,driver1d22cf5b@example.com,DL00054,134,48080.52,0.8056445714807862,0.9779901947058623,13.726885719410541,0.9928763529552658,"{""highway"": 70.79781901322788, ""city"": 32.958383854438935, ""residential"": 15.910281769140127}",5,0,0.9866847690629286,0.882161656656123,3.153335165415993,4,"['Basic', 'Advanced']","[""R118"", ""R194"", ""R287""]",0.45879885795378106,54
Rwigema Emmanuel,driverd4eea1b6@example.com,DL00055,31,3131.36,0.8556107883762905,0.8340662520346807,6.20590466831441,0.9113890289697207,"{""highway"": 60.547041198029696, ""city"": 27.901030939403466, ""residential"": 22.796095607325334}",28,13,0.900883823397262,0.858850264548763,3.0673565598159116,2,"['Basic', 'Advanced']","[""R116"", ""R059"", ""R173""]",0.10078641332486722,55
Rwigema Jacqueline,driverb6eca642@example.com,DL00056,61,38469.44,0.6965863049512271,0.8518544728149132,9.421556726377895,0.7428523406494256,"{""highway"": 63.962639765671696, ""city"": 26.29090461942708, ""residential"": 15.983644850386378}",5,18,0.785776167548192,0.8279944163152975,3.28221681434745,3,"['Basic', 'Advanced']","[""R026"", ""R447"", ""R284""]",0.23397747279851153,56
Rwigema Jacqueline,driverb9cab080@example.com,DL00057,35,43210.62,0.9097580513042154,0.8015591195658136,18.0626394842442,0.9826480889200517,"{""highway"": 66.80466577812997, ""city"": 34.34761386418442, ""residential"": 15.579216983424939}",16,23,0.6859843946489226,0.911390327910764,4.516069184334542,2,['Basic'],"[""R037"", ""R299"", ""R267""]",0.16015195427212664,57
Umuhoza John,driver9fa56648@example.com,DL00058,153,1034.12,0.7391645217381189,0.7758564218100017,10.522893080786336,0.936426979901706,"{""highway"": 73.20665940923769, ""city"": 31.704537258640407, ""residential"": 15.098393205566534}",31,29,0.6350247142964673,0.9289720074729134,3.6337601035046143,1,['Basic'],"[""R421"", ""R496"", ""R161""]",0.3688723926982528,58
Munyaneza Emmanuel,driver54099d90@example.com,DL00059,194,23672.67,0.7541010686130736,0.7874521869139106,6.557866602414866,0.9926561005086412,"{""highway"": 67.05943844426693, ""city"": 23.33419459917637, ""residential"": 16.811253657000783}",44,29,0.9187184035160685,0.7152527610868299,3.683172687418319,5,"['Basic', 'Advanced']","[""R216"", ""R140"", ""R130""]",0.35803290399567633,59
Ndagijimana Anitha,driverf66a4f16@example.com,DL00060,130,49080.01,0.6390306311349672,0.7449837512201966,3.1658289872373504,0.9910695453855413,"{""highway"": 60.70519760177574, ""city"": 33.717785675912594, ""residential"": 22.12012905814513}",16,24,0.9535339972278298,0.913761733401476,4.059492456456009,2,"['Basic', 'Advanced']","[""R137"", ""R268"", ""R460""]",0.10240118234259828,60
Umuhoza Jean,driver4b5e1044@example.com,DL00061,190,4559.65,0.8589400681407913,0.8299534620244099,8.989852590596897,0.7587848800222592,"{""highway"": 74.15511206655913, ""city"": 24.86720789557999, ""residential"": 21.981307169540102}",2,23,0.6574667476890165,0.8411129980709002,4.750236455671029,5,"['Basic', 'Advanced']","[""R311"", ""R485"", ""R250""]",0.28740193383134716,61
Ndagijimana Jean,driver621c2ed7@example.com,DL00062,188,47263.41,0.7720365369648434,0.8528354475239014,13.445258747744852,0.7297744000630851,"{""highway"": 73.52896615531373, ""city"": 32.6749442127808, ""residential"": 18.96827183509132}",47,3,0.8056571439105481,0.9413840148327032,3.9671408117980147,3,"['Basic', 'Advanced']","[""R304"", ""R362"", ""R309""]",0.1818679140917428,62
Umuhoza John,driver454bb032@example.com,DL00063,159,9786.28,0.9132911426309098,0.765176223789209,14.015034656652526,0.7566646708940027,"{""highway"": 58.85323808712782, ""city"": 23.109399690552387, ""residential"": 23.104118605548077}",15,39,0.9538836194632475,0.9487539372060931,4.912511583774226,2,['Basic'],"[""R422"", ""R373"", ""R170""]",0.4307035041213346,63
Umuhoza Odette,driverb765bb20@example.com,DL00064,46,21129.70,0.5386173731736226,0.9036341660295102,3.5162761602468855,0.9977508784253948,"{""highway"": 72.83096401266491, ""city"": 24.316577223242078, ""residential"": 16.884819262166452}",40,27,0.6170908570885917,0.8098732491139494,3.139189273642055,4,['Basic'],"[""R294"", ""R237"", ""R076""]",0.3018313756982803,64
Rwigema Anitha,drivere2e2e539@example.com,DL00065,116,42232.30,0.8975592345659805,0.7373721921837774,17.818637491487518,0.7459603040225864,"{""highway"": 65.66718675195028, ""city"": 29.65785251654252, ""residential"": 19.852333571343827}",36,14,0.9923060449863734,0.7813910844552502,3.548445121733283,2,"['Basic', 'Advanced']","[""R017"", ""R059"", ""R437""]",0.471039286107806,65
Umuhoza Jacqueline,driver33457fc5@example.com,DL00066,116,7355.09,0.8854839338807978,0.8270210106713012,9.510600549952233,0.8669775654369504,"{""highway"": 71.84520562588678, ""city"": 30.095883468378506, ""residential"": 23.799137086744008}",2,16,0.988909034178336,0.7036347904230588,4.379070537625347,3,"['Basic', 'Advanced']","[""R078"", ""R417"", ""R460""]",0.13227175648188397,66
Rwigema Alice,driver6485e319@example.com,DL00067,118,41659.24,0.6622847422778965,0.7727749438896034,7.856267300160792,0.7103158103914375,"{""highway"": 57.217343397761425, ""city"": 20.732931436668892, ""residential"": 19.477292121555863}",23,27,0.9928384153503949,0.9621729847308941,4.140768480153578,4,['Basic'],"[""R201"", ""R246"", ""R309""]",0.39050833757108305,67
Mugisha Jacqueline,driverb5074055@example.com,DL00068,156,44535.76,0.8369515261134988,0.7747942018126921,18.33173839566906,0.7300621331318161,"{""highway"": 72.86167950965223, ""city"": 28.69226980242756, ""residential"": 17.02258183710335}",49,27,0.8483759681590103,0.9836808148842382,4.855368818798377,2,"['Basic', 'Advanced']","[""R304"", ""R357"", ""R489""]",0.3511645990491633,68
Ndagijimana Emmanuel,driver4a2c7511@example.com,DL00069,178,1974.86,0.8705406412770476,0.9966695274665117,14.759191925254267,0.7917169248404955,"{""highway"": 64.49756046893427, ""city"": 26.6196533005657, ""residential"": 23.37314522230038}",43,24,0.7352411239672978,0.9987559866098392,4.436850862431902,3,"['Basic', 'Advanced']","[""R240"", ""R252"", ""R394""]",0.35602415905608253,69
Rwigema Claude,driver2d29400e@example.com,DL00070,49,38241.51,0.8362545676808688,0.7625057639341892,0.5249768603421887,0.7435010895516057,"{""highway"": 71.85284099628606, ""city"": 24.04578408234252, ""residential"": 18.881203734462268}",6,33,0.9365537248281234,0.7417203232123406,4.208547032458011,4,['Basic'],"[""R287"", ""R021"", ""R484""]",0.46079681526460947,70
Umuhoza Eric,driver87cb14cc@example.com,DL00071,168,4944.81,0.5110820417974076,0.9970106283404803,8.975091472964893,0.8193517937784771,"{""highway"": 66.11669690629034, ""city"": 27.917138747979486, ""residential"": 22.172221774076476}",37,11,0.9024344563917207,0.7770340830073672,4.8785807751637424,4,['Basic'],"[""R427"", ""R452"", ""R395""]",0.17212552620992105,71
Mugisha Thierry,driver6c76954e@example.com,DL00072,121,27057.42,0.6716105088657601,0.9360378766603175,10.08445886076991,0.9287592095735361,"{""highway"": 56.344559624745315, ""city"": 25.629894154947436, ""residential"": 17.63520475713013}",38,28,0.7341056201026757,0.920729438195347,3.9787722633548546,3,"['Basic', 'Advanced']","[""R152"", ""R136"", ""R219""]",0.3869042201171844,72
