name,email,license_number,total_trips,total_earnings,safety_score,on_time_delivery_rate,experience_years,rest_compliance_rate,avg_speed_profile,harsh_braking_events,harsh_acceleration_events,fuel_efficiency_score,route_adherence,customer_satisfaction,training_level,certifications,preferred_routes,fatigue_score,id
Ndagijimana Olivier,ndagijimana.olivier783@yahoo.com,DL00019,90,15622.10,0.8320588482072384,0.7245847036499335,2.9844673030147586,0.8462067106431782,"{""highway"": 59.38044166721511, ""city"": 26.264342546173538, ""residential"": 41.08813331939984}",27,10,0.6826121299946275,0.9778477746062862,3.0827883224607175,4,"[""Basic"", ""Advanced""]","[""R484"", ""R230"", ""R377""]",0.42340128758843876,19
Ntawukulilyayo Beatrice,ntawukulilyayo.beatrice676@outlook.com,DL00020,78,43187.63,0.7691797524460282,0.8461896438912028,0.6183007066826709,0.973573746427755,"{""highway"": 51.04751304063932, ""city"": 26.958305102259914, ""residential"": 33.611909021003825}",41,33,0.6618392268288382,0.7989663080589781,3.6238601283015273,1,"[""Basic"", ""Advanced""]","[""R413"", ""R473"", ""R089""]",0.24754530827850024,20
Uwase Theoneste,uwase.theoneste279@outlook.com,DL00021,176,34983.62,0.6768243841432323,0.7702401909851693,9.71388687043831,0.9727336909743104,"{""highway"": 64.12555674392743, ""city"": 21.484160291559864, ""residential"": 34.30284303496817}",20,13,0.6782372074803916,0.9772541470156717,4.426365382612932,2,"[""Basic""]","[""R155"", ""R248"", ""R492""]",0.3936980910745338,21
Mukamana Jeanne,mukamana.jeanne514@yahoo.com,DL00022,13,35611.33,0.8813293379073086,0.7830736025515099,7.827101492544774,0.8106109789621947,"{""highway"": 69.5120130632019, ""city"": 18.95405131928786, ""residential"": 30.93072938904593}",29,12,0.8865385311520158,0.823969527341114,4.086988658543433,5,"[""Basic"", ""Advanced""]","[""R350"", ""R217"", ""R344""]",0.2710482780855116,22
Niyibizi Jacqueline,niyibizi.jacqueline639@gmail.com,DL00023,81,15575.98,0.910521460203658,0.7617274697628353,7.037906763139242,0.8894654600911943,"{""highway"": 55.49816476052901, ""city"": 28.87958354421004, ""residential"": 47.94839233245612}",13,11,0.6332850203558326,0.8842774353127595,3.772032822061009,1,"[""Basic"", ""Advanced""]","[""R307"", ""R179"", ""R199""]",0.4032628573781395,23
Niyomugabo Diane,niyomugabo.diane961@irembo.rw,DL00024,185,28537.74,0.6088761075621225,0.8776552424693467,6.9291192300663225,0.9075737495403623,"{""highway"": 57.75193463109127, ""city"": 29.858274054005243, ""residential"": 39.63219063038908}",31,33,0.9410801405771577,0.7854257482368546,3.0493617482420636,1,"[""Basic"", ""Advanced""]","[""R487"", ""R287"", ""R482""]",0.480682598986493,24
Kamanzi Josephine,kamanzi.josephine89@irembo.rw,DL00025,63,39642.36,0.944077526631421,0.7801637820094033,11.354806543775723,0.7384426215272507,"{""highway"": 61.76390351162344, ""city"": 21.208414111983956, ""residential"": 49.321734201910225}",23,11,0.7879289813604631,0.9100692851341861,3.141823453928879,3,"[""Basic"", ""Advanced""]","[""R296"", ""R385"", ""R083""]",0.44753149387501057,25
Umuhoza Jacqueline,umuhoza.jacqueline742@irembo.rw,DL00026,73,25444.45,0.879884922043811,0.8132532346774525,4.6928035067245055,0.7674534494971027,"{""highway"": 63.890524170428336, ""city"": 23.657260883187, ""residential"": 36.458545489571364}",34,34,0.9648642229924608,0.9168334108216469,4.453249866208484,3,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R336"", ""R287"", ""R104""]",0.2584991517218117,26
Bizimana Aimable,bizimana.aimable853@gov.rw,DL00027,16,39641.13,0.6165697759154583,0.7434608215892154,1.9789494419686964,0.7527970191717617,"{""highway"": 68.04254932476925, ""city"": 24.227121336173987, ""residential"": 36.75516050807195}",25,39,0.751768124011289,0.9901781269874086,3.5904141639139926,5,"[""Basic"", ""Advanced""]","[""R153"", ""R032"", ""R441""]",0.3029347836183503,27
Bizimana Innocent,bizimana.innocent313@irembo.rw,DL00028,145,9192.65,0.5335423027344761,0.92277235183163,7.963535474538672,0.9085962663397029,"{""highway"": 50.46875476745641, ""city"": 26.042148308649196, ""residential"": 43.76541738806268}",46,32,0.8663991135039673,0.8785904644084831,3.5742770182324213,2,"[""Basic"", ""Advanced""]","[""R344"", ""R200"", ""R422""]",0.17989440210060442,28
Niyonzima Theophile,niyonzima.theophile75@gmail.com,DL00029,181,12565.73,0.7054191651501551,0.8189695275971033,11.283094947157764,0.7658580032212452,"{""highway"": 67.50413046794614, ""city"": 16.53214761514867, ""residential"": 36.49930008440349}",8,1,0.778858926293857,0.8075246262045763,4.647280935122394,4,"[""Basic"", ""Advanced""]","[""R043"", ""R204"", ""R402""]",0.4616411772840392,29
Mukashema Esperance,mukashema.esperance864@yahoo.com,DL00030,132,3380.28,0.6657650243682507,0.8883524943574064,4.394726477436272,0.7609963140716453,"{""highway"": 50.78597360841462, ""city"": 23.367537256298625, ""residential"": 41.2156730518806}",30,32,0.6286017771387812,0.8023350734418369,3.5274496641802173,2,"[""Basic"", ""Advanced""]","[""R066"", ""R234"", ""R112""]",0.31888526953068064,30
Bizimana Jean,bizimana.jean298@gov.rw,DL00031,40,39749.70,0.5247883124102704,0.9163764622271131,6.081891914990688,0.8477119280269504,"{""highway"": 54.033469239520564, ""city"": 19.338623901305777, ""residential"": 37.27584393565947}",33,8,0.8838679424675668,0.8149280435932177,4.333725642907022,1,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R433"", ""R262"", ""R208""]",0.25809257894680016,31
Habimana Jeanne,habimana.jeanne782@yahoo.com,DL00032,156,17856.55,0.5559346493110908,0.7135928447765899,8.642089830323497,0.9554955292086926,"{""highway"": 52.77715923335485, ""city"": 28.689901040812106, ""residential"": 41.06508814428665}",22,13,0.7047425080151339,0.9205091057805974,3.8541397936931405,2,"[""Basic"", ""Advanced""]","[""R493"", ""R241"", ""R115""]",0.4153604088556212,32
Kamanzi Odette,kamanzi.odette713@gov.rw,DL00033,10,31218.30,0.8086978768660638,0.9563000341287482,11.189601113790179,0.8076753585651877,"{""highway"": 58.43014321725586, ""city"": 16.3854771377779, ""residential"": 42.597113300735195}",47,26,0.8361309988366695,0.7477064058388766,4.948754309051633,1,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R147"", ""R293"", ""R341""]",0.4091194401229127,33
Uwimana Celestin,uwimana.celestin426@irembo.rw,DL00034,190,41987.76,0.6429607828631108,0.8709527932885839,9.211316794660206,0.7370882682989998,"{""highway"": 55.72994242969541, ""city"": 16.176707711807232, ""residential"": 45.682056805665376}",35,6,0.6735132595133784,0.8467993486826784,4.778670712968948,5,"[""Basic"", ""Advanced""]","[""R021"", ""R165"", ""R219""]",0.4294351927148524,34
Niyibizi Alphonse,niyibizi.alphonse615@gmail.com,DL00035,86,13835.21,0.7068775602686791,0.9007477128073763,13.863143872206548,0.7489853087275652,"{""highway"": 59.878091647895246, ""city"": 19.311762834411716, ""residential"": 32.47472472929243}",20,14,0.8142200891323251,0.8477653385605344,3.8262205093775155,3,"[""Basic"", ""Advanced""]","[""R016"", ""R043"", ""R492""]",0.1914862789548661,35
Umuhoza Claudine,umuhoza.claudine229@gov.rw,DL00036,108,2272.75,0.8855398490724633,0.8451110823737467,8.211049206882155,0.9770721198867436,"{""highway"": 57.9959747940178, ""city"": 18.835989670189633, ""residential"": 38.27355438909372}",34,36,0.9140321251499135,0.9748477692732458,3.940243067567447,3,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R178"", ""R401"", ""R013""]",0.2458766642476273,36
Nyiraneza Jeanne,nyiraneza.jeanne383@outlook.com,DL00037,188,33645.96,0.5612561605865888,0.9587361312986914,8.477470219728392,0.7918059781054715,"{""highway"": 57.85310849626094, ""city"": 20.41786284599233, ""residential"": 35.61710346316581}",44,38,0.7626646958240102,0.9381620643939009,3.764970033233191,1,"[""Basic"", ""Hazardous Materials""]","[""R387"", ""R412"", ""R319""]",0.23406755986884537,37
Umuhoza Jean,umuhoza.jean32@irembo.rw,DL00038,137,44933.07,0.6710609114917341,0.9326499401017591,4.327401413628877,0.8981796753936592,"{""highway"": 67.07799425332317, ""city"": 20.189525558484835, ""residential"": 32.46317872241954}",41,10,0.6967643845426794,0.7787415078203743,3.150612809326307,3,"[""Basic"", ""Advanced""]","[""R185"", ""R019"", ""R312""]",0.1178155405025315,38
Habimana Claudine,habimana.claudine686@irembo.rw,DL00039,154,37886.62,0.6975502187435643,0.9427814079389389,13.34717733938062,0.9370930513691785,"{""highway"": 59.66819501550651, ""city"": 19.047157042201732, ""residential"": 47.729446234484996}",7,29,0.7191150917159128,0.7732024897041931,4.770374268008128,4,"[""Basic"", ""Advanced""]","[""R457"", ""R127"", ""R029""]",0.1606838745891,39
Niyitegeka Esperance,niyitegeka.esperance62@gmail.com,DL00040,39,41221.81,0.7646695043885758,0.9329571169046221,2.0948073041737403,0.7581166473415967,"{""highway"": 62.83552166487945, ""city"": 23.688807269811278, ""residential"": 32.4150422018089}",17,26,0.6375954222699397,0.8569806866748235,3.633312446113722,2,"[""Basic""]","[""R279"", ""R314"", ""R055""]",0.348313481654123,40
Munyemana Alphonse,munyemana.alphonse898@irembo.rw,DL00041,109,39526.96,0.7857115565507928,0.9892336103008883,1.4894725759005936,0.9901517108744426,"{""highway"": 69.99272335663127, ""city"": 29.429971918336804, ""residential"": 35.55180845035571}",38,13,0.8082097010761216,0.8926564765112908,4.9295161948901445,2,"[""Basic""]","[""R330"", ""R085"", ""R467""]",0.11915841467533968,41
Niyitegeka Immaculee,niyitegeka.immaculee567@gov.rw,DL00042,184,20638.46,0.8997511285735991,0.7635520711676549,5.364389376787262,0.7871548885431808,"{""highway"": 65.27739621986971, ""city"": 17.389524631374872, ""residential"": 46.07689051272649}",47,4,0.8954430303183303,0.9723801319646428,4.306688866119788,4,"[""Basic"", ""Advanced""]","[""R468"", ""R463"", ""R140""]",0.3013035962200684,42
Niyomugabo Patrick,niyomugabo.patrick350@yahoo.com,DL00043,136,34627.10,0.590130297380066,0.8610513528985844,2.288792988249752,0.8567549680603845,"{""highway"": 53.35158095002416, ""city"": 16.97760630686546, ""residential"": 35.01495066555097}",1,11,0.9897623507101324,0.7258158438294433,4.635526255055191,3,"[""Basic"", ""Advanced""]","[""R049"", ""R212"", ""R154""]",0.2659054808158557,43
Ntawukulilyayo Celestin,ntawukulilyayo.celestin259@outlook.com,DL00044,195,47613.99,0.8506003471897214,0.8379427455927749,10.39904269348118,0.7474677601536875,"{""highway"": 58.020091497475235, ""city"": 23.408377525782605, ""residential"": 31.21108499690135}",37,39,0.6688728716660498,0.7464004197054465,3.5760207351193856,5,"[""Basic""]","[""R447"", ""R256"", ""R153""]",0.29173204319463586,44
Ndagijimana Marie,ndagijimana.marie766@yahoo.com,DL00045,52,37784.59,0.6939584490528823,0.7005499260418567,9.936157482199455,0.8898392082090114,"{""highway"": 62.21286781641635, ""city"": 17.42909390386442, ""residential"": 43.254974357824665}",30,31,0.7729666822075943,0.8266227666237308,3.0421422926213824,4,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R047"", ""R274"", ""R381""]",0.18057840070501135,45
Niyonzima Celestin,niyonzima.celestin630@yahoo.com,DL00046,93,7001.64,0.9141678567630402,0.850301721181665,7.019022201994999,0.9732688772222055,"{""highway"": 69.95486507364197, ""city"": 18.553587397541374, ""residential"": 35.65586410366521}",44,22,0.8394653868397677,0.7035264194759738,3.4449187550099456,4,"[""Basic"", ""Advanced""]","[""R361"", ""R362"", ""R109""]",0.12261174249741172,46
Nzeyimana Jacqueline,nzeyimana.jacqueline24@yahoo.com,DL00047,200,42316.02,0.9623692844908229,0.8556954122837009,9.931363261823247,0.8130820633893591,"{""highway"": 56.37503814542798, ""city"": 21.59590646954393, ""residential"": 42.91149765147134}",10,15,0.7447290420873052,0.7994158117550844,3.8566025963263164,1,"[""Basic"", ""Advanced""]","[""R355"", ""R320"", ""R198""]",0.18359693855445067,47
Munyaneza Theogene,munyaneza.theogene415@irembo.rw,DL00048,161,47061.92,0.7198894700126214,0.7082064408790142,7.771653406225615,0.8015441767287536,"{""highway"": 68.80871143423818, ""city"": 29.61677765093942, ""residential"": 49.426623087619625}",16,33,0.7391314151492545,0.8740391307559292,4.369777238195517,3,"[""Basic""]","[""R500"", ""R405"", ""R260""]",0.10309592540494848,48
Mugisha Claudine,mugisha.claudine297@irembo.rw,DL00049,78,13198.42,0.8071486426034682,0.8912810441886909,9.079143050161779,0.8404626845510551,"{""highway"": 57.350207261482396, ""city"": 15.927815894569783, ""residential"": 34.07860635544982}",34,40,0.6025027588536765,0.8567702926815279,3.272755059038913,5,"[""Basic""]","[""R208"", ""R453"", ""R046""]",0.2857857985863204,49
Murenzi Jacqueline,murenzi.jacqueline607@gov.rw,DL00050,22,47014.28,0.8505473467021695,0.780347340383903,8.071371401221288,0.9993132685068246,"{""highway"": 51.71565745682188, ""city"": 17.33421950240772, ""residential"": 37.82996481074197}",44,5,0.643185165093716,0.7552429765020523,4.3456843898770074,3,"[""Basic""]","[""R143"", ""R211"", ""R398""]",0.2771677502628434,50
Munyakazi Olivier,munyakazi.olivier594@gov.rw,DL00051,126,21774.34,0.741247536240935,0.8948539114028369,4.5284952886613095,0.762524246925461,"{""highway"": 62.50829234772711, ""city"": 23.49366143464178, ""residential"": 48.54970039274278}",36,24,0.7247542423328355,0.7286564932706648,4.440633909097989,5,"[""Basic"", ""Advanced""]","[""R386"", ""R153"", ""R324""]",0.13438707707419756,51
Murenzi Alphonsine,murenzi.alphonsine526@outlook.com,DL00052,193,24415.34,0.6687376904912662,0.9577682326158615,13.716463532205328,0.7176881623889529,"{""highway"": 58.47700481796106, ""city"": 16.193484216138327, ""residential"": 31.511763230879733}",15,16,0.7597686449138569,0.799541628839721,4.880677168320015,4,"[""Basic"", ""Advanced""]","[""R160"", ""R465"", ""R072""]",0.31750244451630816,52
Mukashema Odette,mukashema.odette556@outlook.com,DL00053,123,20206.63,0.715404144030125,0.70723420110939,12.298978304037812,0.723887001562215,"{""highway"": 64.26465579696027, ""city"": 16.162375498928583, ""residential"": 48.27393026298647}",11,12,0.6400278786210694,0.8505629016103153,3.4477506715209225,3,"[""Basic"", ""Advanced""]","[""R072"", ""R468"", ""R291""]",0.25325031203052384,53
Iyamuremye Alphonse,iyamuremye.alphonse445@gmail.com,DL00054,29,14398.37,0.8486097914520827,0.7393890401971499,12.492094668823684,0.8619160908735476,"{""highway"": 53.16917337461322, ""city"": 20.829233466641874, ""residential"": 39.49034030233226}",34,38,0.9412563369331515,0.8388807188973927,4.451888519814528,4,"[""Basic"", ""Advanced""]","[""R120"", ""R247"", ""R476""]",0.47328567992228,54
Munyakazi Innocent,munyakazi.innocent602@outlook.com,DL00055,10,46118.34,0.9426306467627477,0.7937939485352015,14.600043023383959,0.795818775669034,"{""highway"": 67.15777590143716, ""city"": 21.327610815234415, ""residential"": 39.466157050617426}",44,36,0.7193876539159143,0.8662500542832314,4.429916859967333,3,"[""Basic"", ""Advanced""]","[""R346"", ""R219"", ""R123""]",0.17645521136445425,55
Munyakazi Francoise,munyakazi.francoise268@yahoo.com,DL00056,78,15852.50,0.8350489289905009,0.9670389650410034,9.598759210418267,0.9448610029083281,"{""highway"": 69.05956775691301, ""city"": 22.082420458645686, ""residential"": 44.675423054909196}",45,9,0.7578114096360227,0.761646516789257,3.3596274390135656,1,"[""Basic"", ""Advanced""]","[""R489"", ""R030"", ""R089""]",0.31084895201351653,56
Umuhoza Marie,umuhoza.marie762@outlook.com,DL00057,63,6555.96,0.8074537489064827,0.7961007332999663,0.5355464549454662,0.9947604590572705,"{""highway"": 65.10952636756711, ""city"": 25.101690594928577, ""residential"": 33.24878405888298}",43,32,0.7931758768543515,0.7976211071033116,4.006406598684031,5,"[""Basic"", ""Advanced""]","[""R343"", ""R462"", ""R303""]",0.3743192940219807,57
Munyaneza Celestin,munyaneza.celestin350@irembo.rw,DL00058,162,18847.47,0.6444122210759714,0.7274314043379143,9.190694475898674,0.990722295437281,"{""highway"": 69.17157440182844, ""city"": 16.453894497781267, ""residential"": 30.184848945578686}",28,4,0.8480242615700103,0.9493417351940999,4.9674614873219785,1,"[""Basic"", ""Advanced""]","[""R497"", ""R014"", ""R133""]",0.49241752201223565,58
Niyonzima Marie,niyonzima.marie765@gov.rw,DL00059,155,40790.82,0.6364314013096043,0.8467672535276685,9.600906290761676,0.9699436018441725,"{""highway"": 65.40388627387436, ""city"": 16.808567744824426, ""residential"": 44.5084497050221}",35,30,0.856577023986678,0.8085164979741403,4.32824626695982,1,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R298"", ""R123"", ""R444""]",0.4866247763145287,59
Uwase Odette,uwase.odette751@irembo.rw,DL00060,188,46188.42,0.5472190342858966,0.8836615895298153,10.100439727063094,0.9103878265226951,"{""highway"": 54.38393741738548, ""city"": 23.853475758831898, ""residential"": 39.18609828417618}",9,21,0.8596802156300657,0.8710864319295241,4.188052877878078,4,"[""Basic""]","[""R049"", ""R259"", ""R460""]",0.36087306392489005,60
Uwimana Esperance,uwimana.esperance269@gmail.com,DL00061,194,47008.14,0.5190322161419074,0.7121680496785647,9.577971849492066,0.9306720334873481,"{""highway"": 68.01517578194075, ""city"": 23.205911939595754, ""residential"": 49.31696665956328}",32,11,0.9860893609919021,0.721978178178449,3.9538812959296434,4,"[""Basic"", ""Advanced""]","[""R146"", ""R164"", ""R104""]",0.4113217091434219,61
Munyakazi Thierry,munyakazi.thierry736@irembo.rw,DL00062,145,29047.39,0.515068448083055,0.9513528427736216,8.76071583022031,0.9032887869665183,"{""highway"": 65.40081886414985, ""city"": 25.06701752727075, ""residential"": 41.86426914268947}",47,19,0.6180772871356613,0.7741399670710414,4.8164479230596635,5,"[""Basic"", ""Advanced""]","[""R284"", ""R460"", ""R422""]",0.3619828192282192,62
Nkurunziza Emmanuel,nkurunziza.emmanuel850@outlook.com,DL00063,121,15459.42,0.5700194778898471,0.9555141407854156,4.831790775804142,0.7480386480824427,"{""highway"": 60.9499871071789, ""city"": 16.92557486388915, ""residential"": 43.60896018547395}",43,18,0.6597055177312661,0.803175720039336,3.5683803685184494,5,"[""Basic""]","[""R228"", ""R269"", ""R500""]",0.18395353760839198,63
Bizimana Emmanuel,bizimana.emmanuel585@irembo.rw,DL00064,122,41704.44,0.6892338702023677,0.9803459211125536,8.76845919165535,0.8418165021095023,"{""highway"": 60.57263399825815, ""city"": 29.809147873970183, ""residential"": 45.069194002853415}",44,23,0.9887675996103222,0.9532841433822101,4.789282201257121,1,"[""Basic"", ""Advanced""]","[""R439"", ""R385"", ""R227""]",0.22862308095526448,64
Kamanzi Theoneste,kamanzi.theoneste958@irembo.rw,DL00065,128,29348.44,0.6303480475701355,0.8298939438911627,12.34654019590535,0.8265529915581118,"{""highway"": 62.16674185039993, ""city"": 16.375239038998018, ""residential"": 48.08064212211154}",19,12,0.962530131677817,0.7207912346006755,3.05618851686412,4,"[""Basic"", ""Advanced""]","[""R334"", ""R091"", ""R298""]",0.3059503406322047,65
Niyonsaba Patrick,niyonsaba.patrick80@gmail.com,DL00066,63,37375.61,0.7319222514216701,0.8066294270875911,6.423168608198358,0.9987271139298239,"{""highway"": 63.82154379317726, ""city"": 19.170101454781147, ""residential"": 34.14996493746776}",31,3,0.990986924746067,0.8451998388865112,3.551010034523542,5,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R220"", ""R004"", ""R304""]",0.480626331746534,66
Nzeyimana Theoneste,nzeyimana.theoneste288@outlook.com,DL00067,65,42804.89,0.6866784560896317,0.7829684720146303,3.569830537639513,0.9137698992816198,"{""highway"": 63.47073532952648, ""city"": 25.708754965298056, ""residential"": 35.00500340225183}",40,20,0.7106320092138412,0.933932529285835,4.975494560809978,2,"[""Basic""]","[""R258"", ""R008"", ""R166""]",0.4402806969267644,67
Kamanzi Thierry,kamanzi.thierry138@irembo.rw,DL00068,127,16951.75,0.7331711627546782,0.7914992336510706,9.404480608244842,0.8617255532234549,"{""highway"": 56.702620211755566, ""city"": 25.289196632212143, ""residential"": 41.65425688091263}",12,33,0.8016612955838816,0.7069122623209556,3.789123968167659,5,"[""Basic"", ""Advanced"", ""Hazardous Materials""]","[""R092"", ""R396"", ""R236""]",0.1154815672191997,68
